id,class
12541,13
12542,8
12543,8
12544,12
12545,19
12546,11
12547,4
12548,9
12549,2
12550,9
12551,15
12552,5
12553,1
12554,14
12555,4
12556,5
12557,14
12558,7
12559,13
12560,19
12561,2
12562,9
12563,3
12564,10
12565,15
12566,11
12567,6
12568,2
12569,18
12570,5
12571,17
12572,17
12573,20
12574,3
12575,19
12576,1
12577,16
12578,5
12579,18
12580,4
12581,2
12582,12
12583,5
12584,9
12585,12
12586,11
12587,6
12588,17
12589,16
12590,6
12591,15
12592,8
12593,7
12594,8
12595,8
12596,10
12597,15
12598,4
12599,14
12600,15
12601,16
12602,6
12603,1
12604,16
12605,11
12606,3
12607,3
12608,18
12609,2
12610,12
12611,4
12612,8
12613,5
12614,4
12615,16
12616,11
12617,15
12618,14
12619,6
12620,14
12621,11
12622,4
12623,8
12624,9
12625,19
12626,2
12627,12
12628,12
12629,13
12630,17
12631,17
12632,3
12633,17
12634,20
12635,4
12636,17
12637,10
12638,17
12639,4
12640,19
12641,9
12642,13
12643,11
12644,13
12645,11
12646,8
12647,5
12648,6
12649,11
12650,6
12651,3
12652,5
12653,6
12654,9
12655,12
12656,16
12657,7
12658,9
12659,12
12660,8
12661,19
12662,12
12663,9
12664,12
12665,3
12666,13
12667,12
12668,5
12669,7
12670,7
12671,2
12672,7
12673,5
12674,8
12675,9
12676,2
12677,15
12678,10
12679,6
12680,10
12681,2
12682,14
12683,11
12684,11
12685,7
12686,15
12687,8
12688,19
12689,5
12690,10
12691,4
12692,17
12693,11
12694,19
12695,12
12696,9
12697,18
12698,12
12699,1
12700,6
12701,14
12702,10
12703,1
12704,4
12705,12
12706,17
12707,14
12708,13
12709,18
12710,12
12711,17
12712,18
12713,10
12714,20
12715,17
12716,14
12717,5
12718,6
12719,5
12720,20
12721,16
12722,4
12723,11
12724,5
12725,8
12726,19
12727,13
12728,2
12729,10
12730,13
12731,15
12732,12
12733,6
12734,8
12735,10
12736,14
12737,17
12738,13
12739,18
